front,back
Does the Bicep deployment create the resource group for you?,"No. At resourceGroup scope the target resource group must already exist; the deployment puts resources into it. (Create the resource group first, or deploy at subscription scope to create it as part of the deployment.)"
How do conditions work in Bicep?,Append if(condition) to a resource to deploy it only when true: resource x '...' = if(deployStorage) { ... }. (Conditional deployment of a resource based on a parameter.)
How do loops work in Bicep?,The for expression creates multiple resources or values: [for item in items: { ... }]. (Deploy N similar resources from an array; like Terraform's count or for_each.)
How do you consume a module in Bicep?,"module stg './storage.bicep' = { name: 'deployStorage', params: { ... } }. (You point at the file path and pass parameters, just like calling a function.)"
"How do you convert existing ARM JSON to Bicep, and vice versa?","az bicep decompile turns ARM JSON into Bicep; az bicep build compiles Bicep to ARM JSON. (Decompile is how you migrate an old ARM estate onto Bicep, though the output usually needs cleanup.)"
How do you deploy a deployment stack with the BicepDeploy@0 task?,"Set type to 'deploymentStack' (instead of 'deployment') and provide the stack inputs like denySettingsMode and actionOnUnmanageResources. (Same task, different type value.)"
How do you reference one resource's property from another resource?,"Use symbolic name dot property: sa.id or sa.properties.primaryEndpoints.blob. (Bicep automatically infers a dependency from the reference, so you rarely need dependsOn.)"
How does Bicep differ from Terraform on state?,"Bicep is stateless and reads live Azure at deploy time. Terraform keeps a state file that must be stored remotely and locked. (Terraform has a whole class of state-related failures, like drift and lock conflicts, that Bicep simply cannot have.)"
"In a pipeline YAML, what does the trigger keyword do?",It defines which branch pushes start the pipeline: trigger: - main runs on pushes to main. (The event that kicks off continuous deployment.)
"Is Bicep stateful or stateless, and what does that mean?","Stateless. There is no separate state file to store or maintain. At deploy time Bicep compares your file to the live state of Azure and reconciles the difference. (This is the big contrast with Terraform, which keeps a state file. Your Bicep file still declares desired state; there is just no persisted state file.)"
What agent version does the BicepDeploy@0 task require?,"Agent software version 2.144.0 or later. Microsoft-hosted agents are always current; self-hosted agents you must keep updated. (A detail worth knowing if you run your own build agents, which is common in GCC High where hosted agents are not available.)"
What are Azure Verified Modules (AVM)?,"Microsoft-maintained, versioned, best-practice modules you consume from the public registry: br/public:avm/res/storage/storage-account:0.9.0. Three types: res (single resource), ptn (pattern), and utl (utility). (You customize via their exposed parameters rather than forking.)"
What are decorators in Bicep?,"Annotations on parameters that add constraints or metadata, like @minLength(3), @allowed(['dev','prod']), @description('...'), @secure(). (They validate inputs before deployment; @secure hides a value from logs.)"
