front,back
How do you change string case?,"s.lower(), s.upper(), s.title(). (Useful for case-insensitive matching, like normalizing usernames or domains.)"
How do you check for None correctly?,"Use 'is': if x is None. (Prefer 'is' over '==' here, just like PowerShell teaches you to write $null -eq $x to be safe.)"
How do you check if a string contains a substring?,"'error' in line returns True/False. For position, use line.find('x') (returns -1 if absent) or line.index('x') (raises if absent). (The 'in' test is the quick membership check.)"
"How do you convert a string to an int, and what can go wrong?","int('123') converts it; str(123) goes back. int('abc') raises ValueError. (This is casting, like [int]'123' in PowerShell; wrap it in try/except when the input is untrusted.)"
How do you debug Python code?,"Insert breakpoint() (or import pdb; pdb.set_trace()) to drop into the debugger, step through, and inspect variables. Read the traceback bottom-up. Use logging over scattered prints. (A real method beats scattering prints everywhere.)"
How do you define a function?,"def name(param1, param2): return result. (Like a PowerShell function, but parameters go in the parentheses and you use 'return' or the last expression.)"
"How do you exit a loop early, and how do you skip one iteration?",break exits the loop entirely; continue skips to the next iteration. (Same keywords and meaning as PowerShell.)
How do you find out what type an object is?,"type(obj) returns the object's type; you can also use isinstance(obj, SomeType) to test it. (This is the Get-Member / .GetType() habit from PowerShell; type() answers 'what is this thing.')"
How do you get help on a function or object in the interpreter?,help(obj) prints its documentation; obj.__doc__ holds the docstring. (The Get-Help equivalent from PowerShell.)
How do you handle errors in Python?,"try: risky() except SomeError as e: handle(e) finally: cleanup(). (Same try/catch/finally idea as PowerShell, but the keyword is 'except' instead of 'catch.')"
How do you iterate a dictionary's keys and values together?,"for key, value in my_dict.items(). Use .keys() or .values() for just one. (In PowerShell you would use .GetEnumerator(); .items() is the Python way.)"
How do you loop with both index and value?,"Use enumerate: for i, value in enumerate(my_list). It yields index-value pairs. (Cleaner than tracking a counter yourself.)"
How do you make an HTTP request in Python?,Use the requests library: r = requests.get(url); r.json(). (The Invoke-RestMethod of Python; used to hit APIs and threat-intel feeds.)
How do you merge two dictionaries?,"Python 3.9+: d1 | d2. Older: {**d1, **d2} or d1.update(d2). (Later keys win on conflicts.)"
How do you parse JSON in Python?,"import json; json.loads(text) parses a string, json.dumps(obj) serializes. json.load/json.dump work on file objects. (Everywhere in API and cloud work; the ConvertFrom-Json / ConvertTo-Json of Python.)"
How do you raise an exception?,raise ValueError('message'). You can raise built-in or your own custom exception classes. (Like throw in PowerShell.)
How do you read a file safely in Python?,with open('file.txt') as f: data = f.read(). The 'with' auto-closes it even on error. (Get-Content is the PowerShell read; 'with' is the safe-open pattern.)
How do you read a Python traceback when debugging?,Read it bottom-up: the last line is the actual exception and message; the lines above show the call path that led there. (The single most useful debugging skill; the bottom line tells you what broke.)
How do you read command-line arguments in a simple script?,"sys.argv is a list of the arguments (sys.argv[0] is the script name). For anything real, use argparse. (sys.argv is the quick-and-dirty version, like $args in PowerShell; argparse is the proper param() block.)"
How do you redirect output at the shell when running a Python script?,python script.py > out.txt sends stdout to a file; 2> err.txt sends stderr; 2>&1 merges them. (The same redirection operators PowerShell uses: > and 2>.)
How do you replace text in a string?,"s.replace('old', 'new'). For pattern-based replacement, use re.sub. (Direct analog of PowerShell's -replace, minus the regex unless you use re.)"
How do you safely group items into a dict of lists?,"Use defaultdict(list) and d[key].append(item), or dict.setdefault(key, []).append(item). (Avoids checking whether the key exists first; common when bucketing events by host or IP.)"
How do you see what methods and attributes an object has?,dir(obj) lists its attributes and methods. (This is the direct equivalent of PowerShell's Get-Member; it is how you explore an unfamiliar object interactively.)
How do you swap two variables in Python?,"a, b = b, a. Tuple unpacking does it in one line with no temp variable. (A small idiom that signals real Python familiarity.)"
How do you use regular expressions in Python?,"import re; re.search(pattern, text), re.findall(pattern, text), re.sub(pattern, repl, text). (Used constantly to parse logs and pull out IOCs; PowerShell's -match / -replace are the parallels.)"
How do you work with CSV data?,"import csv; csv.DictReader for reading rows as dicts, csv.writer for writing. Or pandas for heavier work. (Import-Csv / Export-Csv are the PowerShell equivalents.)"
How do you write a for loop over a list?,"for item in my_list: print(item). It iterates the items directly. (Like PowerShell's foreach ($item in $list), but the default and only 'for' style.)"
How do you write an if/elif/else?,if cond: ... elif other: ... else: ... Indentation defines the blocks; there are no braces. (PowerShell uses braces; Python uses whitespace instead.)
How do you write to stderr in Python?,"print('msg', file=sys.stderr), or use the logging module. (Keeps error messages out of the normal output stream so piped data stays clean.)"
How should you handle secrets in a Python script?,"Never hardcode them. Read from environment variables (os.environ), a secrets manager, or a vault, and keep them out of source control. (Standard security hygiene; the answer is always 'not in the code.')"
How would you read a large log file without loading it all into memory?,Iterate line by line inside a with block: with open('log') as f: for line in f: process(line). This streams instead of reading the whole file with .read(). (Important when logs are gigabytes; the streaming habit a security engineer needs.)
Is a string mutable in Python?,"No. Strings are immutable; any operation that looks like it changes a string actually returns a new one. (Same as .NET strings, which PowerShell also uses.)"
