front,back
How can you anonymize data in KQL?,Use hashing functions like 'hash_sha256()'.
How can you trace an operation across tables?,Use 'operation_Id' or 'session_Id' to correlate across logs.
How do you analyze multi-tenant data securely?,Filter by tenant ID and apply RBAC on queries.
How do you build alerts from queries?,Create a query > New alert rule > Define logic and threshold.
How do you calculate moving averages?,"KQL has no moving_avg(). Build a series with make-series, then apply series_fir() for a moving average."
How do you calculate percentiles in KQL?,"Use percentile(column, percent) or percentiles() functions."
How do you check if a field exists?,"Use isnotempty() or isnull(), or gettype() to inspect a dynamic field's type."
How do you compare app performance before and after a change?,"Summarize by time range (e.g., avg(duration)) and compare time bins."
How do you compare two timestamps for ordering?,"Use datetime comparison operators like <, >, ==."
How do you concatenate strings in KQL?,Use strcat() or strcat_array() functions.
How do you convert data types in KQL?,"Use toint(), tostring(), todatetime(), etc."
How do you convert UNIX timestamps to datetime?,Use 'unixtime_seconds_todatetime()' or similar functions.
How do you correlate alerts from different sources?,"Join on common IDs or timestamps, aggregate alert types."
How do you count the elements of a dynamic array in KQL?,Use array_length(arr). There is no mv-count() function.
How do you create a reusable KQL function?,Use the 'let' keyword with parameters.
How do you create a saved query?,Use 'Save' in Logs UI or define in Workbook or Analytics Rule.
How do you create custom columns with calculations?,Use 'extend' operator with expressions.
How do you detect brute force attacks using KQL?,Look for multiple failed logins from same IP in short time.
How do you detect missing data points in time series?,"make-series emits a point for every interval, using its default value where data is missing; series_fill_linear() or series_fill_const() fill the gaps."
How do you detect performance anomalies?,"Use 'summarize avg()', 'percentiles()', or 'stdev()', then 'render timechart'."
How do you detect repeated errors across services?,summarize count() by error_message | where count_ > 1
How do you detect spikes in logs?,"Use 'summarize count() by bin(TimeGenerated, x)' and 'render timechart'."
How do you export query results from KQL?,Use Azure Portal export options or APIs.
How do you extract nested fields from JSON?,Use dot notation like dynamicField.subField.
How do you extract parts of a string using KQL?,"Use substring(), extract(), or parse operators."
How do you filter data by IP address range?,Use 'ipv4_is_in_range()' function.
How do you filter data by time?,Use the 'where' clause with time filters like TimeGenerated > ago(1h).
How do you filter for rows with missing fields?,"Use 'where isnull(field)' or 'where field == """"'."
How do you find anomalies in data?,Use 'series_decompose_anomalies()' or statistical functions.
How do you find failed logins in the last 24h?,SecurityEvent | where EventID == 4625 and TimeGenerated > ago(24h)
How do you find top 10 IP addresses by request volume?,AppRequests | summarize count() by client_IP | top 10 by count_
How do you find unique users per day?,"Summarize count of distinct user IDs grouped by bin(TimeGenerated, 1d)."
