front,back
Assessment or audit in FedRAMP language?,"Assessment. Security Assessment Plan, Security Assessment Report, Third Party Assessment Organization, annual assessment. Assessor, not auditor. Audit and auditor are the SOC 2 and ISO vocabulary, and audit-ready is common vernacular, so both float around in a shop running multiple frameworks."
"Beyond infrastructure, web, database, and container, what else is scanned?","Wireless, where wireless is inside the authorization boundary, scanning for unauthorized access points. Plus the annual penetration test, which follows FedRAMP guidance defining mandatory attack vectors rather than leaving scope to the tester."
Can organizations exclude criteria from their SOC 2 report?,"Yes, only Security is required; others are optional based on services offered."
Can you change 3PAOs?,"Yes, at any time. There is no requirement to keep the same one, and they vary in thoroughness, proactivity, and cost."
CAUTION: how should FedRAMP 20x dates be treated?,"As estimates. FedRAMP states explicitly that future dates are for public awareness, not firm commitments, and will shift with real-world conditions. Rev 5 remains a valid operating path today."
Do automated ConMon reports still need human sign off?,"Yes. FedRAMP permits automation broadly, but output must be reviewed and signed by the provider and the 3PAO. Automation removes the toil, not the accountability."
Does FedRAMP say controls or requirements?,"Controls. FedRAMP and 800-53 both use security controls, control baselines, and control implementation throughout. 800-171 says requirements, and CMMC 2.0 follows that, though almost everyone says controls anyway. CMMC 1.0 said practices."
Does metadata need encryption at rest?,"Yes. Everything at rest inside the boundary gets encrypted with FIPS validated cryptography under SC-28, and metadata is included because it is frequently sensitive independent of content. Field level exclusions are expensive to build and to defend, since an assessor will ask you to justify each one. What is worth confirming per system is whether metadata leaves the boundary, which changes the transmission requirement under SC-8."
How can organizations align different compliance frameworks effectively?,By mapping controls across frameworks and adopting unified policies.
How does 20x affect the assessor pool?,"It narrows it. Fewer 3PAOs are equipped for continuous OSCAL based validation, which matters when planning an assessment."
How does authorization boundary scoping differ between CMMC and FedRAMP?,"CMMC permits aggressive scope reduction through an enclave strategy. The FedRAMP boundary must include everything supporting the service, including corporate and management systems that touch it."
How does automation aid compliance efforts?,"Automates monitoring, reporting, and evidence collection, reducing manual effort."
How does employee training support compliance?,"Ensures awareness of policies, reducing human risk factors."
How does NIST CSF help organizations?,"It provides a flexible, risk-based approach to managing cybersecurity."
How does OSCAL automation actually get built?,"Extract live state from the cloud API, map object properties to control satisfaction, generate or update OSCAL artifacts, validate against schema in the pipeline, version it in git so pull requests trigger validation, and gate deployment so noncompliant infrastructure does not ship."
How does SOX impact IT and cybersecurity?,"SOX requires IT controls that ensure data integrity, security, and accurate financial reporting."
How does the assessment rhythm differ between CMMC and FedRAMP?,"CMMC is a triennial assessment plus annual affirmation, a project with an end date. FedRAMP is continuous, with monthly submissions to the agency and annual assessment."
How does the POA&M function differently in CMMC versus FedRAMP?,"In CMMC it is a temporary bridge: it exists only between conditional and final certification, must be closed within 180 days, and after the closeout assessment there is no ongoing POA&M. Changes after that flow through change management, and significant changes may trigger reassessment. In FedRAMP it is permanent operating machinery where every open finding lives continuously and is submitted monthly."
How does the Protect function support cybersecurity?,By implementing safeguards to limit or contain the impact of a potential cybersecurity event.
How granular is the component inventory in the SSP itself?,"The SSP describes the environment: what tiers exist, what components make them up, how they relate. It does not list every host. It points to the integrated inventory workbook as the authoritative enumerated list."
How is risk acceptance handled in CMMC versus FedRAMP?,FedRAMP uses formal deviation requests. CMMC has no risk acceptance mechanism at all; a practice is either met or it is not.
"How many practices are in CMMC Level 2, and where do they come from?","110 practices, taken directly from NIST 800-171."
How often are CIS Controls updated?,"They are reviewed regularly and updated as threats evolve, latest being v8."
How often does FedRAMP require vulnerability scanning?,"Monthly, authenticated, across infrastructure, web application, and database, with results submitted to the agency. CMMC requires scanning but does not dictate cadence."
How often must an ISO 27001 ISMS be audited?,"Typically annually, including internal audits and surveillance audits by certifiers."
How often must PCI DSS compliance be validated?,At least annually and after significant changes.
How often must SOX compliance be evaluated?,Annually.
How should a POA&M be sorted for daily work?,"By clock rather than severity. Severity sets the size of the window, elapsed time tells you what is about to breach. A moderate at day 85 of 90 outranks a high at day 5 of 30, and sorting by severity hides that."
"If the CSP runs its own scans, what is the 3PAO obligation?","The 3PAO must independently verify the results, either by observing the scans or by an alternative validation method. The 3PAO does not manage remediation; it confirms that reported posture reflects reality."
"In FedRAMP, what is the CIS (Control Implementation Summary)?","A per-control summary of who is responsible: provider, customer, shared, or inherited from the underlying provider. Not to be confused with the CIS Critical Security Controls."
"In FedRAMP, what is the CRM (Customer Responsibility Matrix)?","The subset of controls the customer must implement themselves, written for their consumption. An agency uses it to build its own ATO on top of the service."
Is a new outbound connection an SSP change?,Yes. A connection out is a boundary change even though nothing new was built inside the system.
Is a risk register required in FedRAMP?,"Not as a separate artifact you design. FedRAMP requires the same risk assessment discipline but supplies the artifacts, so the register function is distributed: RA-3 for the documented assessment, the Risk Exposure Table with the SAR, the POA&M as the operational register, and deviation requests as the acceptance path."
Is NIST CSF mandatory for organizations?,"No, it's voluntary but widely adopted especially in critical infrastructure sectors."
Is OSCAL currently required for FedRAMP?,"Directionally yes, and it is being phased in for all providers rather than only 20x participants. Treat specific deadlines as moving, since FedRAMP states that future dates are estimates rather than firm commitments."
Is sampling allowed for FedRAMP monthly scans?,"No. Full inventory, monthly. Partial coverage is a finding rather than an approach."
"Logic Apps or Azure Functions, how do you choose?","Logic Apps to connect things: prebuilt connectors, human approval steps, notification and ticketing. Functions to compute things: transformation, parsing, API calls with no connector, anything you want unit tested and in source control. Avoid putting real logic in Logic Apps because version control and testing are weaker and cost scales with action count."
Roughly how many controls are in FedRAMP Moderate and High?,Moderate is roughly 325 controls. High is roughly 410 to 420.
STATUS CHECK: What is the current state of FedRAMP as of mid 2026?,"Two paths coexist. Rev 5 is the established path and remains valid. FedRAMP 20x is live and in Phase 3, with Class A, B, and C certification rules finalized. Rev 5 is not retired yet."
What are Annex A controls in ISO 27001?,"In the 2022 version, 93 controls organized into 4 themes: organizational, people, physical, and technological. The 2013 version had 114 controls across 14 domains."
"What are control parts, and why do they matter in FedRAMP?",Many 800-53 controls have lettered parts. FedRAMP requires each part addressed separately rather than one narrative covering all of them.
What are Key Security Indicators (KSIs) in FedRAMP 20x?,"Measurable security capabilities that replace narrative control implementations. The provider proves the capability works through automated validation rather than documenting intent. Applies to 20x, not to Rev 5 packages."
What are technical safeguards under HIPAA?,"Access controls, audit controls, integrity, authentication, and transmission security."
What are the 12 PCI DSS requirements?,"They include firewall config, changing default passwords, protecting stored data, encryption, access controls, monitoring, and security policies."
What are the consequences of a HIPAA violation?,"Civil penalties, criminal penalties, and reputational damage."
What are the DoD Impact Levels?,"IL2 is publicly releasable information. IL4 is CUI with low to moderate national security impact. IL5 is stricter, covering CUI and unclassified national security systems. IL6 covers classified up to Secret."
What are the FedRAMP 20x certification classes?,"Class A is the entry class for providers with mature security programs. Class B covers small-scale or light-use services (Low). Class C covers common enterprise services (Moderate). Class D for High is FUTURE, planned for Phase 4, estimated FY27."
