front,back
Compliance vs security; how are they different?,"Compliance is meeting regulations; security is broader, focusing on managing risks beyond compliance."
Define a security playbook.,"Detailed, repeatable steps for responding to specific incident types (e.g., ransomware, data breach)."
"Define authentication, authorization, and accounting (AAA).","Authentication verifies a user's identity, authorization determines what resources they can access, and accounting (or auditing) logs their actions for monitoring and review; collectively forming the AAA framework in secure systems."
Define cybersecurity frameworks.,"Structured models like NIST, ISO 27001, and CIS Controls to guide security program development."
Define encryption at rest vs in transit.,"Encryption at rest protects stored data (like disks and databases) from unauthorized access, while encryption in transit protects data traveling across networks (e.g., TLS-secured network traffic)."
Define incident response lifecycle.,"The incident response lifecycle comprises Preparation, Identification, Containment, Eradication, Recovery, and Lessons Learned ; a structured approach for handling security incidents."
Define Insecure Direct Object Reference (IDOR).,Occurs when users can access unauthorized objects by modifying request parameters; fix by authorization checks.
Define privileged code execution.,Executing code with elevated permissions; should be minimized and audited.
Define Public Key Infrastructure (PKI) and why it matters.,Framework used for digital certificates and key management; critical for authentication and encryption.
Define zero trust security.,"Zero Trust is a security model where no implicit trust is granted to any user or device, regardless of location. Verification is required for every access request, and continuous trust evaluation is enforced."
Describe MAC filtering.,MAC filtering restricts network access by allowing only devices with approved MAC addresses.
Difference between business continuity and disaster recovery?,Business continuity ensures essential services continue; disaster recovery restores systems after disruption.
Difference between Red Team and Blue Team.,"Red Team simulates attackers, Blue Team defends; Purple Team combines collaboration."
Difference between stateful and stateless firewalls?,"Stateful firewalls track connection state and context, allowing more complex inspection; stateless firewalls examine packets individually without context."
Due care vs due diligence; what’s the difference?,Due care is acting responsibly to protect assets; due diligence is the investigation to ensure risk is managed.
"Explain access control models: DAC, MAC, RBAC.","DAC (Discretionary Access Control) allows data owners to control access. MAC (Mandatory Access Control) enforces strict policies defined by a central authority. RBAC (Role-Based Access Control) assigns permissions to roles, and users are granted access based on their role membership."
Explain application whitelisting.,Allow only approved software to execute; prevents unauthorized executables.
Explain BYOD (Bring Your Own Device) security considerations.,"Ensuring personal device security, access control, and data protection while respecting privacy."
Explain container security basics.,"Securing images, registries, orchestrators, and runtime with best practices and scanning."
Explain Cross-Site Scripting (XSS).,XSS allows attackers to inject client-side scripts; prevent by encoding output and sanitizing inputs.
Explain defense avoidance and evasion techniques.,"These are techniques attackers use; like obfuscation, rootkits, spoofing, and tunneling; to bypass detection by security systems."
Explain defense in depth.,"Defense in depth is a layered security strategy that implements multiple overlapping protective measures, such as firewalls, intrusion detection systems, encryption, and policy controls; to create redundancy and reduce risk exposure."
Explain directory traversal vulnerability.,Attack where user-provided path accesses unauthorized files; prevent using path validation or canonicalization.
Explain HTTPS interception by proxies.,"Proxy decrypts HTTPS traffic for inspection, then re-encrypts it to maintain secure sessions while scanning."
Explain input validation vs output encoding.,Validation ensures input follows expected format; encoding ensures output is safe for contexts like HTML or SQL.
Explain Just-In-Time (JIT) access.,"Temporary elevation of access for administrators when needed, reducing permanent privileged access risk."
Explain layered security in cloud architecture.,"Implement security at multiple layers; network, host, identity, data, and app; to create depth of protection."
Explain MAC vs IP whitelisting.,MAC whitelisting filters at Layer 2 based on MAC addresses; IP filtering applies at Layer 3 using IP addresses.
Explain network forensics in a breach response.,"Network forensics involves capturing and analyzing network data, such as packet captures, flow logs, and DNS logs; to investigate security incidents."
"Explain secrets management (HashiCorp Vault, Azure Key Vault).","Secure storage and access control for credentials, API keys, and certificates."
