front,back
Are CloudTrail DataEvents enabled by default,"No, because they are very high volume."
Are CloudTrail insights events enabled by default?,"No, they are a paid feature"
Are CloudWatch logs encrypted by default?,"Yes, at rest with service-managed keys; a KMS customer-managed key is optional per log group."
Are NACLs implicit deny or implicit allow?,"Implicit deny, but AWS puts an explicit allow in them."
Are parameter policies offered in standard SSM Parameter store?,No
AWS Direct Connect,Private dedicated network link Azure: Azure ExpressRoute
AWS Well-Architected Framework,"Describes key concepts, design principles, and architectural best practices for designing and running workloads in the cloud."
By default what permissions does a CFM stack assume?,The role of the user
Can a subnet span across multiple AZs?,No
Can upload functions be done through cloudfront?,No
Can you disable EBS encryption on an encrypted volume?,No
Can you do VPC peering between organizations?,Yes
Can you do VPC traffic mirroring if the interfaces are in different VPCs?,"Yes you can, but you must have VPC peering enabled between those interfaces."
Can you make a presigned URL for an object you have no access to?,"Yes you can, but the URL will not be useful."
Can you place a SG on a NATGW?,No
Can you use the same DEK for encrypted EBS volumes?,No
Can you use VPC peering to allow one VPC to contact a VPC Endpoint Gateway?,No
Can your NLB and ENI/GWLB be in different availability zones with VPC peering?,No
Control Tower vs AWS Organizations: which does what?,Organizations is the underlying account/policy structure; Control Tower is an opinionated layer on top that automates landing-zone setup and guardrails.
Customer-managed vs AWS-managed KMS key: difference?,"Customer-managed = you control policy, rotation, grants, can disable/delete. AWS-managed = created/controlled by the service, no rotation control."
Do instance stores persist across a stop/start?,No
Do instance stores persist across reboot?,Yes
Do NACLs follow an order with their rules?,Yes
Do security groups have an explicit deny?,No
Do you manage the DNSSEC KSK?,Yes
Do you manage the DNSSEC ZSK?,"No, managed by AWS"
Do you need a CGW with AWS direct connect?,No you do not
Do you need private DNS configured to use privatelink,"Private DNS is strongly recommended, so the service's default DNS names resolve to your endpoint instead of the public internet."
Does DNSSEC work in private hosted zones?,No
Does KMS directly decrypt EBS volumes?,No
"Does NAT GW work with VPCPeering, Site to Site VPNs, or Dx?",No
Does WAF provide DDOS protection?,"No, AWS shield does this"
GuardDuty vs Security Hub vs Detective: which is which?,GuardDuty = detects threats. Security Hub = aggregates/normalizes findings. Detective = investigates root cause and attack paths.
How are routes shared between CGW and VGW,BGP session between the two
How can a transit gateway improve bandwidth for a site to site VPN?,It can do ECMP across two different site to site VPN connections.
How can AWS Config aggregators help in a multi-account setup?,"They collect AWS Config data from multiple accounts and regions, providing centralized compliance visibility."
How can AWS Cost Explorer help identify security risks?,"By analyzing spending anomalies or spikes, which could indicate unauthorized activity, over-provisioning, or forgotten resources."
How can CloudHSM be used for encryption at rest?,"CloudHSM provides dedicated hardware security modules for customer-managed keys, often used with databases like RDS, or workloads requiring FIPS 140-2 Level 3."
How can CloudWatch composite alarms reduce noise?,You can configure alarms with AND/OR conditions so that a notification is only sent if certain conditions are true.
How can cross-account roles enhance security and manageability?,"They allow secure access between AWS accounts without sharing long-term credentials, using assume-role policies and trust relationships."
How can customers bring their own keys (BYOK) to AWS KMS?,Use the Import Key feature in KMS to upload externally generated key material into a KMS key.
How can logs be normalized and parsed for analysis?,"Use tools like AWS Glue, Amazon Athena with structured queries, or custom Lambda functions to convert logs to common formats (e.g., JSON)."
How can MFA be enabled and enforced in AWS?,"You can enable MFA on IAM users or roles, and enforce it in policies using Conditions (e.g., `aws:MultiFactorAuthPresent` set to true)."
How can Security Hub be used to create custom monitoring rules?,"You can create Custom Insights in Security Hub using filters on findings to detect specific patterns, and trigger responses using EventBridge."
